image_id,source,dataset_group,original_label,unified_class,filepath
ISIC_0000000,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000000.jpg
ISIC_0000001,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000001.jpg
ISIC_0000002,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000002.jpg
ISIC_0000003,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000003.jpg
ISIC_0000004,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000004.jpg
ISIC_0000006,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000006.jpg
ISIC_0000007,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000007.jpg
ISIC_0000008,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000008.jpg
ISIC_0000009,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000009.jpg
ISIC_0000010,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000010.jpg
ISIC_0000011,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000011.jpg
